competency
1.3   Manages the patient post resuscitation 
1.5   Assesses and provides initial management of the trauma patient 
1.6   Assesses and provides initial management of the patient with burns 
1.7   Describes the management of mass casualties 
2.6   Interprets imaging studies 
3.2   Identifies the implications of chronic and co-morbid disease in the acutely ill patient 
3.7   Recognises and manages the patient with acute gastrointestinal failure 
3.11  Recognises life-threatening maternal peripartum complications and manages care 
4.2	Manages antimicrobial drug therapy 
4.3	Administers blood and blood products safely 
4.5	Describes the use of mechanical assist devices to support the circulation 
"4.7	Initiates, manages, and weans patients from renal replacement therapy "
4.9	Co-ordinates and provides nutritional assessment and support 
5.2	Performs emergency airway management 
5.3	Performs difficult and failed airway management according to local protocols 
5.4	Performs endotracheal suction 
5.5	Performs fibreoptic bronchoscopy and BAL in the intubated patient 
5.6	Performs percutaneous tracheostomy 
5.7	Performs chest drain insertion 
5.8	Performs arterial catheterisation 
5.11	Performs defibrillation and cardioversion 
"5.12	Performs transthoracic cardiac pacing, describes transvenous "
5.13	Describes how to perform pericardiocentesis 
5.14	Demonstrates a method for measuring cardiac output and derived haemodynamic variables 
5.15	Performs lumbar puncture (intradural / ‘spinal’) under supervision 
5.16	Manages the administration of analgesia via an epidural catheter 
5.17	Performs abdominal paracentesis 
5.18	Describes Sengstaken tube (or equivalent) placement 
5.19	Performs nasogastric tube placement 
5.20	Performs urinary catheterisation 
6.1	Manages the pre- and post-operative care of the high risk surgical patient 
6.2	Manages the care of the patient following cardiac surgery under supervision 
6.3	Manages the care of the patient following craniotomy under supervision 
6.4	Manages the care of the patient following solid organ transplant under supervision 
6.5	Manages the care of the patient for surgery for trauma under supervision 
"7.2	Manages the assessment, prevention and treatment of pain and delirium "
"7.4	Communicates the continuing care requirements, including rehabilitation, of patients at ICU discharge to health care professionals, patients and relatives "
7.5	Manages the safe and timely discharge of patients from the ICU 
8.1	Manages the process of withholding or withdrawing treatment with the multidisciplinary team 
8.2	Discusses end of life care with patients and their families / surrogates 
8.3	Manages palliative care of the critically ill patient 
8.4	Performs brain-stem death testing 
8.5	Manages the physiological support of the organ donor 
8.6	Manages donation following cardiac death 
9.1	Describes the recognition of the acutely ill child and initial management of paediatric emergencies 
9.2	Describes the national legislation and guidelines relating to child protection and their relevance to critical care 
10.1	Undertakes the transport of the mechanically ventilated critically ill patient outside the ICU 
11.1	Leads a daily multidisciplinary ward round 
11.2	Complies with local infection control measures 
11.3	Identifies environmental hazards and promotes safety for patients and staff 
"11.4	Identifies and minimises risk of critical incidents and adverse events, including complications of critical illness "
11.5	Organises a case conference 
"11.7	Describes commonly used scoring systems for assessment of severity of illness,  case mix and workload "
11.8	Demonstrates an understanding of the managerial and administrative responsibilities of the ICM specialist 
12.5	Demonstrates respect of cultural and religious beliefs and an awareness of their impact on decision making 
"12.6	Respects privacy, dignity, confidentiality and legal constraints on the use of patient data "
12.9	Supports clinical staff outside the ICU to enable the delivery of effective care 
"12.10	Appropriately supervises, and delegates to others, the delivery of patient care "
